"TOA5","CR9000","CR9000","1576","CR9000X.Std.06","CPU:MnDot_Bo.C9X","59705","MNDOT"
"TIMESTAMP","RECORD","Windspeed","WindDir","Bolt2","Bolt3","Bolt5","Bolt6","Strain1","Strain2","Strain3","Strain4","Strain5","Strain6","Strain7","Strain8","Bolt7"
"TS","RN","Mph","Deg","lbs","lbs","lbs","lbs","uE","uE","uE","uE","uE","uE","uE","uE","lbs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-09-04 16:18:32.68",121344243,14.54,297,57.55864,-8.80872,-24.51608,4.20624,-8.4,-12.5,6.4,15.9,-3,32.7,70.9,55.8,7.25424
"2017-09-04 16:18:32.69",121344244,14.35,296.3,57.56826,-8.7884,-24.5364,4.18592,-8.7,-12.8,7.8,16.5,-3.4,31.7,70,54.4,6.61416
"2017-09-04 16:18:32.7",121344245,14.16,296.2,57.55864,-8.757919,-24.54656,4.1656,-8.7,-12.5,9,16.8,-3.6,30.7,68.8,53.4,5.19176
"2017-09-04 16:18:32.71",121344246,14.09,296,57.56826,-8.74776,-24.54656,4.17576,-8.6,-12,10.3,17.5,-3.2,30.3,67.5,52.9,7.68096
"2017-09-04 16:18:32.72",121344247,13.92,295.1,57.57789,-8.7376,-24.54656,4.18592,-8.4,-11.7,11.3,18.3,-3.3,29.2,66.3,52.5,6.54304
"2017-09-04 16:18:32.73",121344248,13.73,295.1,57.57789,-8.696959,-24.5364,4.18592,-8.2,-11.1,12.9,19.5,-2.9,29,65.6,51.9,3.9116
"2017-09-04 16:18:32.74",121344249,13.67,295,57.56826,-8.696959,-24.52624,4.1656,-8.7,-11.2,14.3,20.3,-2.9,28.4,64.4,50.4,1.92024
"2017-09-04 16:18:32.75",121344250,13.94,294.4,57.54901,-8.6868,-24.54656,4.17576,-9.1,-11,15.3,20.9,-2.9,27.4,63.4,49.2,6.329679
"2017-09-04 16:18:32.76",121344251,13.9,294.1,57.57789,-8.65632,-24.55672,4.15544,-9.1,-10.8,16.3,21.9,-2.6,27,62.3,48.6,5.19176
"2017-09-04 16:18:32.77",121344252,13.83,293.8,57.56826,-8.64616,-24.56688,4.15544,-9.3,-10.4,17.3,22.4,-2.3,26.4,61.4,48.2,4.9784
"2017-09-04 16:18:32.78",121344253,13.71,293.3,57.58752,-8.61568,-24.55672,4.14528,-9.3,-10.1,18.4,23.2,-1.6,26.6,60.7,47.8,-0.7112
"2017-09-04 16:18:32.79",121344254,13.53,293.3,57.57789,-8.61568,-24.54656,4.14528,-9.3,-10.3,19.1,23.9,-1.7,26,60.4,46.9,6.0452
"2017-09-04 16:18:32.8",121344255,13.48,293.6,57.57789,-8.605519,-24.55672,4.14528,-9.7,-10.2,19.4,23.9,-2,25.3,59.7,46.2,4.19608
"2017-09-04 16:18:32.81",121344256,13.37,293.1,57.55864,-8.636,-24.55672,4.12496,-9.6,-10.2,19.9,24.3,-2.1,25.1,59.3,46.3,3.76936
"2017-09-04 16:18:32.82",121344257,13.19,293.2,57.56826,-8.636,-24.54656,4.13512,-9.3,-9.8,19.7,24.3,-2,25.1,59.2,46.6,5.6896
"2017-09-04 16:18:32.83",121344258,13.15,293.5,57.58752,-8.56488,-24.54656,4.14528,-9.1,-9.6,20.2,24.7,-1.7,25.3,59.3,47.1,4.69392
"2017-09-04 16:18:32.84",121344259,13.06,293.2,57.57789,-8.605519,-24.5364,4.14528,-9.4,-10.1,19.9,24.1,-2,25.5,59.9,46.6,6.0452
"2017-09-04 16:18:32.85",121344260,12.93,293.3,57.55864,-8.62584,-24.55672,4.14528,-9.5,-10.5,19.4,23.6,-2.4,25.5,60,46.5,4.19608
"2017-09-04 16:18:32.86",121344261,12.85,293.8,57.55864,-8.62584,-24.54656,4.14528,-9.6,-10.6,18.9,23.6,-2.2,25.8,60.2,46.9,4.48056
"2017-09-04 16:18:32.87",121344262,12.81,293.5,57.55864,-8.61568,-24.56688,4.14528,-9.6,-10.5,17.9,23.2,-1.7,26.3,60.6,47.6,7.89432
"2017-09-04 16:18:32.88",121344263,12.67,293.5,57.58752,-8.64616,-24.51608,4.1656,-9.5,-10.6,17.5,23.3,-1.4,27,62,48.2,5.6896
"2017-09-04 16:18:32.89",121344264,12.62,293.9,57.56826,-8.66648,-24.52624,4.15544,-10.2,-11.3,16.7,22.7,-1.5,27.7,62.6,48.1,4.9784
"2017-09-04 16:18:32.9",121344265,12.6,293.7,57.55864,-8.66648,-24.56688,4.14528,-10.6,-11.9,15.5,22.3,-1.6,28.1,63,48.2,7.89432
"2017-09-04 16:18:32.91",121344266,12.46,293.6,57.52975,-8.676641,-24.55672,4.1656,-10.8,-12,14.3,21.5,-1.3,28.9,64,48.9,7.18312
"2017-09-04 16:18:32.92",121344267,12.41,294,57.54901,-8.70712,-24.54656,4.17576,-10.9,-12.1,13,20.9,-1.1,29.9,64.7,49.9,4.33832
"2017-09-04 16:18:32.93",121344268,12.42,293.7,57.55864,-8.70712,-24.5364,4.19608,-10.8,-12.2,12.1,20.7,-0.7,30.9,66,50.7,4.48056
"2017-09-04 16:18:32.94",121344269,12.32,293.5,57.54901,-8.71728,-24.52624,4.20624,-11.2,-13.1,10.8,20,-0.8,31.5,67.2,50.6,3.48488
"2017-09-04 16:18:32.95",121344270,12.27,294.1,57.52013,-8.77824,-24.5364,4.17576,-11.4,-13.4,9.5,19.1,-1.4,31.9,68,51.4,6.0452
"2017-09-04 16:18:32.96",121344271,11.74,293.4,57.52975,-8.77824,-24.5364,4.20624,-11.2,-13.6,8.4,18.3,-1.3,32.5,69,52,4.48056
"2017-09-04 16:18:32.97",121344272,11.66,293.1,57.52013,-8.757919,-24.5364,4.20624,-10.8,-13.4,7,17.6,-1.3,33.2,69.7,53.4,8.67664
"2017-09-04 16:18:32.98",121344273,11.61,293.4,57.55864,-8.77824,-24.52624,4.2164,-10.4,-13.4,6.2,17,-1.1,33.9,71,54.6,3.34264
