"TOA5","CR9000","CR9000","1576","CR9000X.Std.06","CPU:MnDot_Bo.C9X","59705","MNDOT"
"TIMESTAMP","RECORD","Windspeed","WindDir","Bolt2","Bolt3","Bolt5","Bolt6","Strain1","Strain2","Strain3","Strain4","Strain5","Strain6","Strain7","Strain8","Bolt7"
"TS","RN","Mph","Deg","lbs","lbs","lbs","lbs","uE","uE","uE","uE","uE","uE","uE","uE","lbs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-09-04 16:20:32.67",121356242,26.8,334.2,57.15431,-9.20496,-24.72944,4.12496,-6.4,-21.3,-25.8,-6.1,-4.4,52.1,97.9,74.1,-1.13792
"2017-09-04 16:20:32.68",121356243,27.09,333.7,57.18319,-9.194799,-24.7396,4.10464,-6.8,-21.3,-25.2,-5.3,-4.1,52,97.1,73.9,2.06248
"2017-09-04 16:20:32.69",121356244,26.79,334.1,57.17356,-9.16432,-24.74976,4.12496,-7,-21.1,-24.4,-4.8,-3.6,51.9,96.8,73.3,-0.99568
"2017-09-04 16:20:32.7",121356245,26.99,334.5,57.17356,-9.16432,-24.74976,4.10464,-7.3,-21.2,-24.1,-4.2,-3.3,51.7,96,72.8,-1.70688
"2017-09-04 16:20:32.71",121356246,26.87,334.2,57.18319,-9.16432,-24.7396,4.12496,-7.7,-21.1,-23.1,-3.6,-2.8,52.1,95.9,72,-2.56032
"2017-09-04 16:20:32.72",121356247,26.61,334.8,57.18319,-9.144,-24.7396,4.09448,-8.4,-21.4,-23,-3.2,-2.4,51.7,95.2,71.1,-0.85344
"2017-09-04 16:20:32.73",121356248,26.96,335,57.18319,-9.13384,-24.75992,4.1148,-8.7,-21.1,-22.6,-2.2,-1.8,52,94.9,70.9,1.84912
"2017-09-04 16:20:32.74",121356249,26.67,335.2,57.19281,-9.12368,-24.74976,4.1148,-9.5,-21.4,-22.4,-1.7,-1.2,52.4,94.8,70.4,4.40944
"2017-09-04 16:20:32.75",121356250,26.98,336,57.15431,-9.17448,-24.75992,4.1148,-10.3,-21.6,-22.5,-1.3,-0.6,52.7,94.4,69.9,2.77368
"2017-09-04 16:20:32.76",121356251,26.76,336,57.17356,-9.13384,-24.74976,4.12496,-11.2,-22.1,-22.3,-0.8,0.3,53.5,94.9,69.2,-2.77368
"2017-09-04 16:20:32.77",121356252,27,336.4,57.16394,-9.16432,-24.7396,4.1148,-12.2,-22.6,-22.7,-0.1,1,54,94.8,68.4,1.778
"2017-09-04 16:20:32.78",121356253,26.82,337.1,57.16394,-9.15416,-24.72944,4.13512,-13,-23,-22.9,0.3,1.9,54.6,94.9,68.3,1.13792
"2017-09-04 16:20:32.79",121356254,27.1,337.1,57.14468,-9.15416,-24.74976,4.15544,-13.9,-23.4,-23.5,0.6,2.7,55.8,95.4,67.8,3.556
"2017-09-04 16:20:32.8",121356255,26.79,337.6,57.14468,-9.15416,-24.74976,4.15544,-14.9,-23.7,-24.5,1,3.6,56.6,95.4,67.9,-0
"2017-09-04 16:20:32.81",121356256,27.17,338,57.14468,-9.15416,-24.77008,4.15544,-15.8,-24.3,-24.8,1.3,4.4,57.6,96.4,67.3,-1.13792
"2017-09-04 16:20:32.82",121356257,26.86,337.8,57.14468,-9.194799,-24.74976,4.1656,-16.7,-24.8,-25.7,1.3,5,58.1,96.8,67.1,-5.26288
"2017-09-04 16:20:32.83",121356258,27.15,338.6,57.14468,-9.18464,-24.74976,4.1656,-17.3,-25,-26.5,1,5.6,59.2,97.3,67.5,-4.05384
"2017-09-04 16:20:32.84",121356259,26.95,338.4,57.12543,-9.215119,-24.72944,4.1656,-17.8,-25.2,-27.4,1,6.2,60.2,98.2,67.7,1.28016
"2017-09-04 16:20:32.85",121356260,27.19,338.6,57.10618,-8.6868,-24.46528,4.28752,-18.3,-25.9,-28.6,0.8,5.6,61.1,98.8,67.8,2.20472
"2017-09-04 16:20:32.86",121356261,26.95,339,57.13506,-9.22528,-24.71928,4.19608,-18.7,-26.1,-29.5,0.3,6.8,62,100.1,68.4,3.556
"2017-09-04 16:20:32.87",121356262,27.28,338.6,57.12543,-9.25576,-24.74976,4.18592,-19.2,-26.9,-31,-0.3,7,62.8,101,68.5,1.20904
"2017-09-04 16:20:32.88",121356263,26.97,338.8,57.13506,-9.2456,-24.7396,4.2164,-19.5,-26.7,-32.1,-0.9,7.2,63.7,102,69.6,2.4892
"2017-09-04 16:20:32.89",121356264,27.3,339.2,57.13506,-9.26592,-24.71928,4.22656,-19.8,-27.5,-33.5,-1.2,7.6,64.9,103,70,1.35128
"2017-09-04 16:20:32.9",121356265,27.04,338.9,57.1158,-9.28624,-24.7396,4.20624,-20.3,-27.8,-35.2,-2.1,7.9,65.6,104,70.7,4.19608
"2017-09-04 16:20:32.91",121356266,27.23,339.4,57.10618,-9.32688,-24.71928,4.23672,-20.4,-28,-36.3,-2.4,8.1,66.7,105.4,71.3,6.18744
"2017-09-04 16:20:32.92",121356267,27.08,339.4,57.09655,-9.33704,-24.7396,4.24688,-20.9,-29,-37.8,-3.1,8.2,67.3,106.4,71.8,-2.41808
"2017-09-04 16:20:32.93",121356268,27.02,339.3,57.08692,-9.347199,-24.71928,4.24688,-21,-28.9,-39.1,-3.8,8.4,68.5,107.6,72.5,-3.34264
"2017-09-04 16:20:32.94",121356269,27.06,339.7,57.09655,-9.367519,-24.72944,4.2672,-21,-29.1,-40.4,-4.2,8.5,69.3,108.5,73.1,2.56032
"2017-09-04 16:20:32.95",121356270,26.86,339.6,57.08692,-9.367519,-24.72944,4.27736,-21.2,-29.5,-41.9,-5,8.4,69.9,109.2,74.1,4.19608
"2017-09-04 16:20:32.96",121356271,27.09,339.4,57.0773,-9.408159,-24.69896,4.27736,-20.9,-29.7,-43,-5.8,8.3,70.6,110.6,75,3.2004
"2017-09-04 16:20:32.97",121356272,26.85,339.9,57.06767,-9.42848,-24.70912,4.27736,-21,-30.2,-44.4,-7,7.9,71.1,111.4,75.6,-0.3556
