"TOA5","CR9000","CR9000","1576","CR9000X.Std.06","CPU:MnDot_Bo.C9X","59705","MNDOT"
"TIMESTAMP","RECORD","Windspeed","WindDir","Bolt2","Bolt3","Bolt5","Bolt6","Strain1","Strain2","Strain3","Strain4","Strain5","Strain6","Strain7","Strain8","Bolt7"
"TS","RN","Mph","Deg","lbs","lbs","lbs","lbs","uE","uE","uE","uE","uE","uE","uE","uE","lbs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-09-04 16:19:32.68",121350243,31.24,337.6,57.24095,-9.12368,-24.66848,4.22656,-21.3,-22.2,-17.4,10.1,8.9,54.7,87.9,59.4,-3.27152
"2017-09-04 16:19:32.69",121350244,30.73,336.5,57.26983,-9.05256,-24.6888,4.2164,-21.4,-21.2,-13.7,13.2,9.2,52.6,84.7,57.1,-1.13792
"2017-09-04 16:19:32.7",121350245,30.84,336.1,57.27946,-9.0424,-24.66848,4.20624,-21.7,-20.6,-9.5,15.6,9.4,50.3,81.3,54.4,-0.64008
"2017-09-04 16:19:32.71",121350246,30.48,335.2,57.2602,-8.9916,-24.67864,4.17576,-21.5,-20,-5.7,17.3,9.1,48.1,78.3,52.2,2.4892
"2017-09-04 16:19:32.72",121350247,30.55,334.4,57.28908,-8.92048,-24.6888,4.15544,-21.2,-19.1,-1.9,19.1,9,46,75.8,50,0.3556
"2017-09-04 16:19:32.73",121350248,30.14,334.4,57.2602,-8.89,-24.6888,4.13512,-20.1,-18.3,1.3,20.3,8.2,43.3,72.9,49,-2.63144
"2017-09-04 16:19:32.74",121350249,30.33,334,57.27946,-8.453119,-24.51608,4.17576,-18.9,-17.5,4.5,21.8,7,41.4,70.4,47.9,-3.62712
"2017-09-04 16:19:32.75",121350250,29.88,333.5,57.31797,-8.77824,-24.72944,4.08432,-18.1,-16.5,8,22.3,6.7,39,68.1,46.9,-3.76936
"2017-09-04 16:19:32.76",121350251,30.05,333.8,57.32759,-8.77824,-24.71928,4.064,-16.6,-15.8,11.2,23.4,5.4,36.4,65.9,45.6,-6.47192
"2017-09-04 16:19:32.77",121350252,29.71,333.6,57.32759,-8.7376,-24.71928,4.03352,-15.4,-14.7,14.3,24.3,4.2,33.8,63.7,44.9,-0.28448
"2017-09-04 16:19:32.78",121350253,29.83,333.4,57.34685,-8.70712,-24.74976,4.0132,-13.8,-13.6,17,25,3.1,31.2,61,44.4,-2.91592
"2017-09-04 16:19:32.79",121350254,29.46,334.1,57.37573,-8.636,-24.7396,4.02336,-12,-12.4,19.9,25.8,2,29.2,59.1,43.7,-1.92024
"2017-09-04 16:19:32.8",121350255,29.16,334.1,57.3661,-8.605519,-24.7396,3.99288,-11.1,-11.6,22.8,26.5,1,26.7,56.8,42.6,-2.77368
"2017-09-04 16:19:32.81",121350256,29.3,334.3,57.38535,-8.57504,-24.74976,3.9624,-9.9,-10.7,25.3,27.2,-0.1,24.4,54.7,41.6,1.13792
"2017-09-04 16:19:32.82",121350257,28.97,335.1,57.39498,-8.5344,-24.74976,3.94208,-8.7,-9.8,27.8,27.6,-0.8,22.5,53.1,40.8,-2.27584
"2017-09-04 16:19:32.83",121350258,28.7,335.2,57.39498,-8.50392,-24.77008,3.92176,-7.6,-8.8,29.8,28.7,-1.8,20.5,50.9,40.1,-1.49352
"2017-09-04 16:19:32.84",121350259,28.82,335.6,57.40461,-8.52424,-24.77008,3.92176,-6.5,-7.6,31.7,29.4,-2.4,19,49.3,40,-1.70688
"2017-09-04 16:19:32.85",121350260,28.51,336.8,57.41424,-8.4836,-24.75992,3.92176,-5.6,-6.8,33.5,29.4,-3.3,17.4,48.2,39.3,-5.12064
"2017-09-04 16:19:32.86",121350261,28.3,337.4,57.41424,-8.44296,-24.75992,3.90144,-4.9,-6.2,34.8,29.6,-4.3,15.6,46.9,39.1,-2.70256
"2017-09-04 16:19:32.87",121350262,28.41,338.1,57.42386,-8.4328,-24.7396,3.90144,-3.7,-5.4,35.5,29.4,-5.2,14.8,46.2,38.9,-2.56032
"2017-09-04 16:19:32.88",121350263,28.12,339.4,57.43349,-8.42264,-24.75992,3.90144,-2.2,-4.7,35.7,28.8,-6.2,13.7,45.6,39.9,0.14224
"2017-09-04 16:19:32.89",121350264,27.87,340,57.45274,-8.41248,-24.7396,3.89128,-0.8,-3.9,35.7,27.9,-7,13.2,45.9,41,-0.78232
"2017-09-04 16:19:32.9",121350265,28.06,340.8,57.46237,-8.4328,-24.74976,3.88112,0.1,-3.8,35.1,26.9,-8.3,12.6,46.6,41.9,2.77368
"2017-09-04 16:19:32.91",121350266,27.79,342.1,57.44312,-8.47344,-24.7396,3.87096,1.4,-4,34.1,25.4,-9.5,12.3,47.5,43.2,-3.05816
"2017-09-04 16:19:32.92",121350267,27.75,342.9,57.472,-8.4836,-24.72944,3.89128,2.4,-3.7,32.7,23.5,-10.5,12.9,49.2,45.1,-6.25856
"2017-09-04 16:19:32.93",121350268,27.74,343.6,57.44312,-8.49376,-24.7396,3.89128,3.4,-3.9,30,21.8,-11.2,13.5,50.6,47.3,-3.34264
"2017-09-04 16:19:32.94",121350269,27.5,345.4,57.44312,-8.56488,-24.70912,3.90144,4.3,-4.2,27.4,19.8,-11.8,14.7,53.3,49.5,-2.8448
"2017-09-04 16:19:32.95",121350270,27.44,345.9,57.45274,-8.59536,-24.71928,3.92176,4,-5.1,24.4,18,-12.3,16.3,55.9,51.5,-1.778
"2017-09-04 16:19:32.96",121350271,27.49,346.8,57.41424,-8.62584,-24.69896,3.94208,3.9,-6.1,20.9,15,-12.5,18.5,58.5,53.5,-4.6228
"2017-09-04 16:19:32.97",121350272,27.27,348,57.40461,-8.696959,-24.70912,3.95224,3.8,-7.3,17.5,13.3,-12.4,20.6,62.1,55.3,-0.21336
"2017-09-04 16:19:32.98",121350273,27.03,348.5,57.39498,-8.757919,-24.66848,3.98272,3.2,-8.2,13,11.2,-12.2,23.2,65,57.6,-5.40512
