5,142651136
10,90552692
15,80563743
20,71556979
25,61732398
30,55705818
35,49788872
40,48989962
45,47879062
50,46869774
55,45608645
60,45422594
65,42599842
70,42608506
75,42648674
80,43789152
85,42630427
90,45648653
95,49721539
100,60092336
105,80417053
110,102529064
115,114337932
120,113254403
125,109720058
130,116820766
135,137360517
140,152377530
145,151076001
150,136452916
155,134888633
160,126464103
165,122147843
170,109821340
175,96929585
180,83096101
185,69434116
190,59808921
195,58260878
200,60047660
205,63633643
210,66767851
215,67050959
220,70153676
225,73005080
230,72882927
235,73928879
240,74622213
245,75093484
250,63126316
255,52109898
260,48162929
265,47007651
270,48256078
275,55509016
280,66708339
285,92242760
290,117130470
295,136921236
300,142158255
305,160248260
310,166149077
315,151714362
320,141852022
325,115423237
330,97025064
335,90464214
340,81706040
345,82935815
350,92573242
355,105085676
360,65254673
