0,0,0,0
0,62371355,0,62371355
0.5,62371355,0.5,62371355
0.5,72901974,0.5,72901974
1,72901974,1,72901974
1,141629934,1,141629934
1.5,141629934,1.5,141629934
1.5,206753309,1.5,206753309
2,206753309,2,206753309
2,263676057,2,263676057
2.5,263676057,2.5,263676057
2.5,304480851,2.5,304480851
3,304480851,3,304480851
3,331410020,3,331410020
3.5,331410020,3.5,331410020
3.5,345708503,3.5,345708503
4,345708503,4,345708503
4,350539317,4,350539317
4.5,350539317,4.5,350539317
4.5,348567613,4.5,348567613
5,348567613,5,348567613
5,336528953,5,336528953
5.5,336528953,5.5,336528953
5.5,321476605,5.5,321476605
6,321476605,6,321476605
6,303259570,6,303259570
6.5,303259570,6.5,303259570
6.5,282344102,6.5,282344102
7,282344102,7,282344102
7,260663570,7,260663570
7.5,260663570,7.5,260663570
7.5,240178130,7.5,240178130
8,240178130,8,240178130
8,218161645,8,218161645
8.5,218161645,8.5,218161645
8.5,199946758,8.5,199946758
9,199946758,9,199946758
9,180911427,9,180911427
9.5,180911427,9.5,180911427
9.5,163525175,9.5,163525175
10,163525175,10,163525175
10,146354870,10,146354870
10.5,146354870,10.5,146354870
10.5,130895402,10.5,130895402
11,130895402,11,130895402
11,117052031,11,117052031
11.5,117052031,11.5,117052031
11.5,104159202,11.5,104159202
12,104159202,12,104159202
12,92036826,12,92036826
12.5,92036826,12.5,92036826
12.5,81203607,12.5,81203607
13,81203607,13,81203607
13,71714159,13,71714159
13.5,71714159,13.5,71714159
13.5,62949362,13.5,62949362
14,62949362,14,62949362
14,55011318,14,55011318
14.5,55011318,14.5,55011318
14.5,48073958,14.5,48073958
15,48073958,15,48073958
15,41878596,15,41878596
15.5,41878596,15.5,41878596
15.5,36258934,15.5,36258934
16,36258934,16,36258934
16,31319280,16,31319280
16.5,31319280,16.5,31319280
16.5,27012843,16.5,27012843
17,27012843,17,27012843
17,23222684,17,23222684
17.5,23222684,17.5,23222684
17.5,19890382,17.5,19890382
18,19890382,18,19890382
18,16981742,18,16981742
18.5,16981742,18.5,16981742
18.5,14512920,18.5,14512920
19,14512920,19,14512920
19,12274641,19,12274641
19.5,12274641,19.5,12274641
19.5,10375760,19.5,10375760
20,10375760,20,10375760
20,8734263,20,8734263
20.5,8734263,20.5,8734263
20.5,7364215,20.5,7364215
21,7364215,21,7364215
21,6155010,21,6155010
21.5,6155010,21.5,6155010
21.5,5139116,21.5,5139116
22,5139116,22,5139116
22,4307015,22,4307015
22.5,4307015,22.5,4307015
22.5,3567732,22.5,3567732
23,3567732,23,3567732
23,2941216,23,2941216
23.5,2941216,23.5,2941216
23.5,2422226,23.5,2422226
24,2422226,24,2422226
24,1984415,24,1984415
24.5,1984415,24.5,1984415
24.5,1611891,24.5,1611891
25,1611891,25,1611891
25,1308385,25,1308385
25.5,1308385,25.5,1308385
25.5,1068421,25.5,1068421
26,1068421,26,1068421
26,861869,26,861869
26.5,861869,26.5,861869
26.5,689415,26.5,689415
27,689415,27,689415
27,556159,27,556159
27.5,556159,27.5,556159
27.5,444637,27.5,444637
28,444637,28,444637
28,358462,28,358462
28.5,358462,28.5,358462
28.5,292539,28.5,292539
29,292539,29,292539
29,233492,29,233492
29.5,233492,29.5,233492
29.5,183046,29.5,183046
30,183046,30,183046
30,145452,30,145452
30.5,145452,30.5,145452
30.5,116725,30.5,116725
31,116725,31,116725
31,91277,31,91277
31.5,91277,31.5,91277
31.5,71945,31.5,71945
32,71945,32,71945
32,58683,32,58683
32.5,58683,32.5,58683
32.5,47038,32.5,47038
33,47038,33,47038
33,37734,33,37734
33.5,37734,33.5,37734
33.5,29648,33.5,29648
34,29648,34,29648
34,23639,34,23639
34.5,23639,34.5,23639
34.5,19304,34.5,19304
35,19304,35,19304
35,15382,35,15382
35.5,15382,35.5,15382
35.5,12802,35.5,12802
36,12802,36,12802
36,10871,36,10871
36.5,10871,36.5,10871
36.5,9010,36.5,9010
37,9010,37,9010
37,6566,37,6566
37.5,6566,37.5,6566
37.5,4474,37.5,4474
38,4474,38,4474
38,3713,38,3713
38.5,3713,38.5,3713
38.5,2911,38.5,2911
39,2911,39,2911
39,2298,39,2298
39.5,2298,39.5,2298
39.5,2190,39.5,2190
40,2190,40,2190
40,1518,40,1518
40.5,1518,40.5,1518
40.5,1261,40.5,1261
41,1261,41,1261
41,1059,41,1059
41.5,1059,41.5,1059
41.5,866,41.5,866
42,866,42,866
42,652,42,652
42.5,652,42.5,652
42.5,641,42.5,641
43,641,43,641
43,662,43,662
43.5,662,43.5,662
43.5,465,43.5,465
44,465,44,465
44,367,44,367
44.5,367,44.5,367
44.5,348,44.5,348
45,348,45,348
45,303,45,303
45.5,303,45.5,303
45.5,316,45.5,316
46,316,46,316
46,339,46,339
46.5,339,46.5,339
46.5,271,46.5,271
47,271,47,271
47,228,47,228
47.5,228,47.5,228
47.5,174,47.5,174
48,174,48,174
48,155,48,155
48.5,155,48.5,155
48.5,204,48.5,204
49,204,49,204
49,154,49,154
49.5,154,49.5,154
49.5,85,49.5,85
50,85,50,85
50,68,50,68
50.5,68,50.5,68
50.5,25,50.5,25
51,25,51,25
51,28,51,28
51.5,28,51.5,28
51.5,30,51.5,30
52,30,52,30
52,23,52,23
52.5,23,52.5,23
52.5,23,52.5,23
53,23,53,23
53,20,53,20
53.5,20,53.5,20
53.5,29,53.5,29
54,29,54,29
54,7,54,7
54.5,7,54.5,7
54.5,13,54.5,13
55,13,55,13
55,0,55,0
