,date,max speed
246,6/14/2018,30.95
247,6/15/2018,31.22
248,6/16/2018,40.09
249,6/17/2018,35.72
250,6/18/2018,18.72
251,6/19/2018,24.78
252,6/20/2018,19.26
253,6/21/2018,19.92
254,6/22/2018,11.5
255,6/23/2018,11.52
256,6/24/2018,18.38
257,6/25/2018,25.03
258,6/26/2018,17.74
259,6/27/2018,12.22
260,6/28/2018,21.93
261,6/29/2018,30.98
262,6/30/2018,29.76
263,7/1/2018,37.69
264,7/2/2018,22.39
265,7/3/2018,41.85
266,7/4/2018,39.56
267,7/5/2018,22.29
268,7/6/2018,15.87
269,7/7/2018,27.56
270,7/8/2018,26.35
271,7/9/2018,17.06
272,7/10/2018,26.38
273,7/11/2018,27.31
274,7/12/2018,34.44
275,7/13/2018,18.16
276,7/14/2018,18.48
277,7/15/2018,21.06
278,7/16/2018,26
279,7/17/2018,12.96
280,7/18/2018,14.43
281,7/19/2018,30.85
282,7/20/2018,31.7
283,7/21/2018,23.45
284,7/22/2018,16.17
285,7/23/2018,16.41
286,7/24/2018,20.64
287,7/27/2018,19.73
288,7/28/2018,12.77
289,7/29/2018,14.99
290,7/30/2018,15.32
291,7/31/2018,15.83
292,11/14/2018,0.027
293,11/15/2018,0.026
294,11/16/2018,0.022
295,11/17/2018,22.55
296,11/18/2018,20.43
297,11/19/2018,20.41
298,11/20/2018,23.53
299,11/21/2018,19.91
300,11/22/2018,28.45
301,11/23/2018,26.92
302,11/24/2018,22.75
303,11/25/2018,24.27
304,11/26/2018,22.11
305,11/27/2018,19.76
306,12/14/2018,12.77
307,12/15/2018,21.13
308,12/16/2018,19.17
309,12/17/2018,16.94
310,12/18/2018,20.16
311,12/19/2018,14.96
312,12/20/2018,25.09
313,12/21/2018,22.7
314,12/22/2018,14.23
315,12/23/2018,22.99
316,12/24/2018,11.43
317,12/25/2018,7.233
318,12/26/2018,23.05
319,12/27/2018,27.97
320,12/28/2018,35.13
321,12/29/2018,23.12
322,12/30/2018,22.47
323,12/31/2018,31.73
324,1/1/2019,26.94
325,1/2/2019,25.93
326,1/3/2019,20.76
327,1/4/2019,12.21
328,1/5/2019,19.93
329,1/6/2019,36.74
330,1/7/2019,34.97
331,1/8/2019,45.14
332,1/9/2019,33.12
333,1/10/2019,18.66
334,1/11/2019,17.64
335,1/12/2019,13.63
336,1/13/2019,17.2
337,1/14/2019,15.44
338,1/15/2019,25.45
339,1/16/2019,23.39
340,1/17/2019,15.76
341,1/18/2019,21.63
342,1/19/2019,18.46
343,1/20/2019,16.72
344,1/21/2019,31.81
345,1/22/2019,26.61
346,1/23/2019,12.77
347,1/24/2019,38
348,1/25/2019,13.44
349,1/26/2019,19.5
350,1/27/2019,24.4
351,1/28/2019,26.18
352,1/29/2019,43.04
353,1/30/2019,25.25
354,1/31/2019,14.38
355,2/1/2019,24.29
356,2/2/2019,16.33
357,2/3/2019,14.29
358,2/4/2019,25.01
359,2/5/2019,14.47
360,2/6/2019,13
361,2/7/2019,29.24
362,2/8/2019,26.02
363,2/9/2019,15.58
364,2/10/2019,14.69
365,2/11/2019,21.34
366,2/12/2019,25.78
367,2/13/2019,23.59
368,2/14/2019,31.34
369,2/15/2019,20.42
370,2/16/2019,12.63
371,2/17/2019,23.04
372,2/18/2019,12.76
373,2/19/2019,15.11
374,2/20/2019,22.76
375,2/21/2019,17.08
376,2/22/2019,12.82
377,2/23/2019,24.09
378,2/24/2019,46.53
379,2/25/2019,21.41
380,2/26/2019,12.72
381,2/27/2019,18.97
382,2/28/2019,15.33
383,3/1/2019,12.64
384,3/2/2019,21.34
385,3/3/2019,21.92
386,3/4/2019,25.29
387,3/5/2019,30.24
388,3/6/2019,26.04
389,3/7/2019,12.39
390,3/8/2019,14.41
391,3/9/2019,33.32
392,3/10/2019,33.14
393,3/11/2019,14.86
394,3/12/2019,29.11
395,3/13/2019,25.85
396,3/14/2019,29.66
397,3/15/2019,33.89
398,3/16/2019,17.43
399,3/17/2019,18.02
400,3/18/2019,13.97
401,3/19/2019,19.29
402,3/20/2019,27.75
403,3/21/2019,22.19
404,3/22/2019,14.88
405,3/23/2019,14.98
406,3/24/2019,23.13
407,3/25/2019,12.97
408,3/26/2019,21.84
409,3/27/2019,32.55
410,3/28/2019,22.02
411,3/29/2019,16.13
412,3/30/2019,34.8
413,3/31/2019,16.21
414,4/1/2019,16.88
415,4/2/2019,37.12
416,4/3/2019,17.63
417,4/4/2019,22.99
418,4/5/2019,17.33
419,4/6/2019,19.92
420,4/7/2019,20.75
421,4/8/2019,35.9
422,4/9/2019,28.96
423,4/10/2019,32.71
424,4/11/2019,54.19
425,4/12/2019,19.73
426,5/14/2019,14.64
427,5/15/2019,20.4
428,5/16/2019,29.82
429,5/17/2019,21.6
430,5/18/2019,31.78
431,5/19/2019,41.91
432,5/20/2019,18.86
433,5/21/2019,37.47
434,5/22/2019,36.7
435,5/23/2019,23.27
436,5/24/2019,25.47
437,5/25/2019,23.83
438,5/26/2019,12.06
439,5/27/2019,31.37
440,5/28/2019,20.83
441,5/29/2019,10.92
442,5/30/2019,13.12
443,5/31/2019,21.85
444,6/1/2019,22.23
445,6/2/2019,19.93
446,6/3/2019,27
447,6/4/2019,34.5
448,6/5/2019,18.45
449,6/6/2019,13.31
450,6/7/2019,24.26
451,6/8/2019,24.44
452,6/9/2019,27.84
453,6/10/2019,28.98
454,6/11/2019,19.85
455,6/12/2019,27.21
456,6/13/2019,15.63
457,6/14/2019,20.11
458,6/15/2019,27.94
459,6/16/2019,17.72
460,6/17/2019,14.13
461,6/18/2019,13.72
462,6/19/2019,16.36
463,6/20/2019,21.82
464,6/21/2019,25.67
465,6/22/2019,23.57
466,6/23/2019,16.95
467,6/24/2019,25.27
468,6/25/2019,26.95
469,6/26/2019,13.31
470,6/27/2019,26.73
471,6/28/2019,16.8
472,6/29/2019,18.06
473,6/30/2019,43.07
474,7/1/2019,23.17
475,7/2/2019,11.8
476,7/3/2019,31.46
477,7/4/2019,17.07
478,7/5/2019,19.36
479,7/6/2019,15.09
480,7/7/2019,14.08
481,7/8/2019,24.47
482,7/9/2019,22.58
483,7/10/2019,23.61
484,7/11/2019,16.59
485,7/12/2019,23.78
486,7/13/2019,15.32
487,7/14/2019,29.68
488,7/15/2019,54.62
489,7/16/2019,15.54
490,7/17/2019,25.15
491,7/18/2019,18.95
492,7/19/2019,30.9
493,7/20/2019,40.25
494,7/21/2019,22.38
495,7/22/2019,21.71
496,7/23/2019,17.2
497,7/24/2019,16.64
498,7/25/2019,32.72
499,7/26/2019,31.38
500,7/27/2019,17.79
501,7/28/2019,25.1
502,7/29/2019,27.64
503,7/30/2019,14.39
504,7/31/2019,17.93
505,8/1/2019,17.92
506,8/2/2019,11.62
507,8/3/2019,20.06
508,8/4/2019,14.1
509,8/5/2019,20.76
510,8/6/2019,23.59
511,8/7/2019,24.39
512,8/8/2019,24.92
513,8/9/2019,13.79
514,8/10/2019,14.31
515,8/11/2019,11.86
516,8/12/2019,13.45
517,8/13/2019,18.94
518,8/14/2019,16.98
